Ticker,Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7 Percent,Daycount,Overall Percent Change (Day 1 to 6),Outcome
AAPL,2021-01-18,125.136719,129.248245,133.986252,136.139938,139.908783,140.143738,-0.77,0,11.99,4
AAPL,2021-03-29,117.54921,119.755089,120.588425,123.431549,123.735474,125.392357,1.92,1,6.67,8
AAPL,2021-03-30,119.755089,120.588425,123.431549,123.735474,125.392357,127.804123,2.03,0,6.72,8
AAPL,2021-03-31,120.588425,123.431549,123.735474,125.392357,127.804123,130.392334,-1.32,1,8.13,3
AAPL,2021-06-24,130.721832,132.361908,133.884094,134.502777,134.80722,137.448975,1.47,1,5.15,7
AAPL,2021-06-27,132.361908,133.884094,134.502777,134.80722,137.448975,139.471985,1.8,0,5.37,8
AAPL,2021-06-28,133.884094,134.502777,134.80722,137.448975,139.471985,141.976273,-0.92,1,6.04,3
AAPL,2021-10-12,138.589218,141.392319,142.454544,144.136368,146.309967,146.801743,0.15,0,5.93,5
AAPL,2021-10-13,141.392319,142.454544,144.136368,146.309967,146.801743,147.018097,-0.53,0,3.98,4
AAPL,2021-11-10,145.646851,147.734985,147.744843,148.729828,151.182404,155.49649,1.7,3,6.76,8
AAPL,2021-11-11,147.734985,147.744843,148.729828,151.182404,155.49649,158.13623,0.29,2,7.04,6
AAPL,2021-11-14,147.744843,148.729828,151.182404,155.49649,158.13623,158.599197,0.24,1,7.35,5
AAPL,2021-11-15,148.729828,151.182404,155.49649,158.13623,158.599197,158.983322,0.33,0,6.89,6
AAPL,2021-11-16,151.182404,155.49649,158.13623,158.599197,158.983322,159.505356,-3.17,2,5.51,1
AAPL,2022-03-13,148.544571,152.952957,157.390961,158.406754,161.720459,163.101166,2.08,5,9.8,8
AAPL,2022-03-14,152.952957,157.390961,158.406754,161.720459,163.101166,166.49379,0.82,4,8.85,7
AAPL,2022-03-15,157.390961,158.406754,161.720459,163.101166,166.49379,167.864609,2.27,3,6.65,8
AAPL,2022-03-16,158.406754,161.720459,163.101166,166.49379,167.864609,171.671432,0.37,2,8.37,6
AAPL,2022-03-17,161.720459,163.101166,166.49379,167.864609,171.671432,172.312454,0.5,1,6.55,6
AAPL,2022-03-20,163.101166,166.49379,167.864609,171.671432,172.312454,173.180344,1.91,0,6.18,8
AAPL,2022-03-21,166.49379,167.864609,171.671432,172.312454,173.180344,176.494049,-0.66,0,6.01,4
